,u,i,ts,label,idx
179,71,96,1294600354.23511,2.0,180
180,42,71,1294600355.24831,0.0,181
181,36,71,1294600362.03195,0.0,182
182,18,40,1294689381.25255,0.0,183
183,40,18,1294689438.39491,0.0,184
184,97,71,1294788721.90836,2.0,185
185,71,97,1294854693.16331,2.0,186
186,98,16,1294919858.69515,2.0,187
187,16,98,1294927076.83628,2.0,188
188,100,70,1294947596.86945,2.0,189
189,70,100,1294953308.35973,2.0,190
190,8,89,1294974057.98044,0.0,191
191,82,2,1294982042.23521,2.0,192
192,16,71,1294996843.91845,2.0,193
193,71,16,1295011593.79396,2.0,194
194,2,82,1295060559.46632,0.0,195
195,102,2,1295163873.99206,2.0,196
196,55,63,1295213497.49792,0.0,197
197,63,55,1295213513.50181,1.0,198
198,2,102,1295219864.74438,0.0,199
199,102,101,1295223074.80015,2.0,200
200,104,102,1295223955.11582,2.0,201
201,26,81,1295282631.45186,0.0,202
202,61,101,1295394666.14979,0.0,203
203,5,40,1295416559.00524,0.0,204
204,40,5,1295416571.50888,0.0,205
205,106,42,1295460035.88087,2.0,206
206,5,73,1295507765.13172,0.0,207
207,107,97,1295538196.77426,2.0,208
208,97,107,1295560693.07907,2.0,209
209,108,82,1295620829.44948,2.0,210
210,82,108,1295622238.77534,2.0,211
211,109,61,1295647515.55323,2.0,212
212,61,109,1295647536.52286,0.0,213
213,69,98,1295720115.42616,2.0,214
214,98,69,1295720324.59948,2.0,215
215,108,97,1295806593.89702,2.0,216
216,110,8,1295847189.68733,0.0,217
217,8,110,1295847197.87082,0.0,218
218,111,42,1295990232.96892,2.0,219
219,69,42,1295995414.74313,2.0,220
220,42,69,1295995480.14498,0.0,221
221,97,108,1296071385.99524,2.0,222
222,8,24,1296076062.49974,0.0,223
223,112,8,1296085723.47309,2.0,224
224,8,112,1296085847.78287,0.0,225
225,113,65,1296096741.77722,2.0,226
226,65,113,1296096768.61653,0.0,227
227,78,113,1296163310.87274,0.0,228
228,116,113,1296163344.67709,2.0,229
229,61,113,1296163403.15362,0.0,230
230,113,61,1296164244.66224,2.0,231
231,40,110,1296229412.30641,0.0,232
232,110,40,1296229420.53809,0.0,233
233,115,7,1296291457.0187,2.0,234
234,40,115,1296291483.02942,0.0,235
235,33,7,1296291723.90977,2.0,236
236,115,40,1296291878.91863,2.0,237
237,8,48,1296512060.00051,0.0,238
238,120,2,1296512102.9696,2.0,239
239,2,120,1296513384.09698,0.0,240
240,2,101,1296513427.30484,0.0,241
241,8,101,1296528583.06603,0.0,242
242,101,8,1296528668.83435,2.0,243
243,48,8,1296528718.47876,2.0,244
244,123,8,1296553673.17861,2.0,245
245,8,123,1296553681.63051,0.0,246
246,109,24,1296579082.73748,2.0,247
247,24,109,1296579092.82596,0.0,248
248,105,109,1296580101.4228,2.0,249
249,109,105,1296580127.98678,2.0,250
250,57,61,1296595302.62143,2.0,251
251,78,116,1296601381.26798,0.0,252
252,128,120,1296608630.85714,2.0,253
253,26,120,1296609273.32248,0.0,254
254,3,2,1296629343.62073,0.0,255
255,77,2,1296631215.11468,2.0,256
256,2,77,1296631324.44843,0.0,257
257,24,2,1296657671.10019,0.0,258
258,130,55,1296682612.84857,2.0,259
259,8,117,1296688733.36417,0.0,260
260,117,8,1296688773.26321,2.0,261
261,14,55,1296690713.9312,0.0,262
262,55,14,1296690764.78868,0.0,263
263,40,78,1296754197.20889,0.0,264
264,16,78,1296754335.65361,2.0,265
265,7,78,1296754391.49849,0.0,266
266,2,78,1296754396.24231,0.0,267
267,24,78,1296754414.29012,0.0,268
268,29,78,1296754435.61868,2.0,269
269,116,78,1296754444.14572,2.0,270
270,113,78,1296754511.90955,2.0,271
271,132,78,1296754599.04721,2.0,272
272,62,78,1296754644.6621,0.0,273
273,55,130,1296758779.86266,0.0,274
274,3,55,1296769471.34734,0.0,275
275,55,3,1296769494.33436,0.0,276
276,120,128,1296772979.27922,2.0,277
277,133,128,1296773129.83712,0.0,278
278,128,133,1296774360.49458,2.0,279
279,134,8,1296792123.6835,2.0,280
280,8,134,1296792359.704,0.0,281
281,42,106,1296837862.5248,0.0,282
282,65,42,1296868252.526,0.0,283
283,42,65,1296868317.36329,0.0,284
284,111,58,1296870068.1895,2.0,285
285,126,114,1296884305.28705,2.0,286
286,114,126,1296884644.81214,0.0,287
287,8,55,1296913225.27207,0.0,288
288,55,8,1296913557.93463,0.0,289
289,24,114,1296927382.06491,0.0,290
290,136,114,1296927424.46441,0.0,291
291,114,136,1296927623.98348,0.0,292
292,37,79,1297093748.02624,2.0,293
293,79,37,1297093804.32766,0.0,294
294,133,3,1297102509.39137,0.0,295
295,3,133,1297102585.30881,0.0,296
296,16,97,1297187359.235,2.0,297
297,58,111,1297197836.3746,0.0,298
298,42,111,1297197843.90423,0.0,299
299,29,133,1297206554.68267,2.0,300
300,133,29,1297207240.84724,0.0,301
301,2,112,1297291837.5104,0.0,302
302,135,133,1297301158.11584,0.0,303
303,133,135,1297301164.4001,0.0,304
304,101,133,1297308204.52492,2.0,305
305,133,101,1297308356.09497,0.0,306
306,138,42,1297315440.13542,2.0,307
307,97,16,1297359911.12964,2.0,308
308,42,138,1297367601.17088,0.0,309
309,138,8,1297370441.70883,2.0,310
310,8,138,1297371118.2643,0.0,311
311,139,2,1297373817.09734,2.0,312
312,2,139,1297374204.87255,0.0,313
313,139,133,1297378806.44562,2.0,314
314,133,139,1297378871.13707,0.0,315
315,112,101,1297385761.43817,2.0,316
316,101,112,1297385922.89955,2.0,317
317,65,101,1297386367.25667,0.0,318
318,101,65,1297386418.35483,2.0,319
319,141,42,1297461521.01176,2.0,320
320,42,141,1297462874.48356,0.0,321
321,61,8,1297467512.37907,0.0,322
322,101,61,1297479764.51934,2.0,323
323,142,8,1297482206.04112,2.0,324
324,135,142,1297489409.50331,0.0,325
325,142,135,1297494046.21813,2.0,326
326,8,142,1297494086.69858,0.0,327
327,22,133,1297533099.47819,0.0,328
328,133,140,1297533751.04344,0.0,329
329,140,133,1297534217.73791,2.0,330
330,133,79,1297550942.57838,0.0,331
331,4,3,1297570107.33404,0.0,332
332,143,133,1297621909.86333,2.0,333
333,133,143,1297626301.05187,0.0,334
334,143,111,1297626584.94084,2.0,335
335,111,2,1297627293.10108,2.0,336
336,2,111,1297627348.99267,0.0,337
337,111,143,1297628387.63165,2.0,338
338,77,111,1297644400.67612,2.0,339
339,143,3,1297647973.79808,2.0,340
340,3,143,1297647979.65596,0.0,341
341,144,111,1297652993.62903,0.0,342
342,111,144,1297653023.0515,2.0,343
343,133,76,1297686544.7679,0.0,344
344,135,111,1297722488.03348,0.0,345
345,111,135,1297723090.50627,2.0,346
346,145,133,1297734450.42201,0.0,347
347,133,145,1297734459.94641,0.0,348
348,146,2,1297789863.89503,2.0,349
349,2,146,1297789935.51858,0.0,350
350,3,147,1297807903.35418,0.0,351
351,148,61,1297809191.75732,2.0,352
352,149,42,1297812539.28516,2.0,353
353,42,149,1297812615.38151,0.0,354
354,114,24,1297815736.60998,0.0,355
355,133,22,1297824884.76968,0.0,356
356,82,94,1297844414.54098,2.0,357
357,150,79,1297866186.48689,0.0,358
358,151,150,1297866223.36195,2.0,359
359,150,151,1297866274.16062,0.0,360
360,76,133,1297872866.38282,2.0,361
361,111,3,1297878331.02521,2.0,362
362,3,111,1297878338.83964,0.0,363
363,145,111,1297878360.64792,0.0,364
364,111,145,1297878526.43474,2.0,365
365,148,42,1297882010.56212,2.0,366
366,42,148,1297882595.23626,0.0,367
367,153,133,1297886091.49672,2.0,368
368,154,105,1297893560.04423,2.0,369
369,94,82,1297907214.44135,0.0,370
370,155,153,1297908772.11966,2.0,371
371,153,155,1297908772.2987,2.0,372
372,76,153,1297908985.0441,2.0,373
373,156,111,1297910664.51101,2.0,374
374,157,133,1297911997.64031,2.0,375
375,133,157,1297912087.2256,0.0,376
376,114,133,1297915803.12114,0.0,377
377,133,114,1297915880.11482,0.0,378
378,111,156,1297915937.36182,2.0,379
379,158,42,1297959915.11871,2.0,380
380,42,158,1297961344.45289,0.0,381
381,133,150,1297976227.00216,0.0,382
382,150,133,1297976241.97774,0.0,383
383,159,114,1297976422.39242,2.0,384
384,114,159,1297976428.09406,0.0,385
385,8,57,1297980364.62058,0.0,386
386,57,8,1297980493.92464,2.0,387
387,133,42,1298044125.36115,0.0,388
388,105,154,1298047000.34432,2.0,389
389,42,133,1298054259.082,0.0,390
390,2,115,1298056076.44243,0.0,391
391,115,2,1298061893.74143,2.0,392
392,112,2,1298062294.48387,2.0,393
393,161,61,1298072059.67671,2.0,394
394,61,161,1298072081.95273,0.0,395
395,150,115,1298128067.61391,0.0,396
396,115,150,1298130582.32069,2.0,397
397,147,115,1298146050.01677,2.0,398
398,147,79,1298146920.37648,2.0,399
399,79,147,1298147261.90571,0.0,400
400,79,123,1298147284.26115,0.0,401
401,79,133,1298147302.06896,0.0,402
402,115,147,1298147389.6971,2.0,403
403,22,115,1298169867.27033,0.0,404
404,162,8,1298169938.52399,2.0,405
405,8,162,1298169949.76348,0.0,406
406,115,22,1298176196.50247,2.0,407
407,105,133,1298252029.59932,2.0,408
408,133,105,1298252036.65929,0.0,409
409,158,133,1298265265.40787,2.0,410
410,133,158,1298265838.45333,0.0,411
411,8,2,1298267256.42074,0.0,412
412,2,8,1298267346.36932,0.0,413
413,163,133,1298311685.25666,2.0,414
414,133,163,1298311859.99465,0.0,415
415,164,42,1298314076.7642,2.0,416
416,42,164,1298314093.59449,0.0,417
417,163,42,1298315497.57346,2.0,418
418,42,163,1298315517.02448,0.0,419
419,150,3,1298346435.18333,0.0,420
420,3,150,1298346449.83965,0.0,421
421,42,76,1298399915.40633,0.0,422
422,82,144,1298431338.72708,2.0,423
423,81,144,1298431427.57506,2.0,424
424,144,81,1298431543.83973,0.0,425
425,166,2,1298487310.22405,2.0,426
426,2,166,1298487318.2625,0.0,427
427,167,153,1298513462.94598,2.0,428
428,153,167,1298513680.51537,2.0,429
429,167,3,1298520615.60603,2.0,430
430,3,167,1298520693.71134,0.0,431
431,105,111,1298577705.04351,2.0,432
432,168,42,1298584878.7568,0.0,433
433,42,168,1298584913.75006,0.0,434
434,169,42,1298589589.74716,2.0,435
435,42,169,1298589707.36911,0.0,436
436,170,133,1298611411.8562,2.0,437
437,133,170,1298611459.2624,0.0,438
438,150,82,1298623979.12249,0.0,439
439,171,143,1298645238.44312,2.0,440
440,143,171,1298645445.29018,2.0,441
441,172,46,1298646564.1419,2.0,442
442,46,172,1298647569.99753,0.0,443
443,167,65,1298653534.32262,2.0,444
444,65,167,1298653559.5885,0.0,445
445,167,114,1298654517.41338,2.0,446
446,114,167,1298654517.67884,0.0,447
447,105,61,1298654789.70468,2.0,448
448,173,61,1298657430.1608,2.0,449
449,4,65,1298665050.04055,0.0,450
450,174,114,1298665394.71677,2.0,451
451,114,174,1298667151.55806,0.0,452
452,175,42,1298667648.20343,2.0,453
453,61,173,1298667687.63676,0.0,454
454,157,167,1298694079.99209,2.0,455
455,167,157,1298694137.71932,2.0,456
456,8,176,1298708156.9605,0.0,457
457,177,46,1298740675.71722,2.0,458
458,145,162,1298757244.9581,0.0,459
459,162,145,1298757268.91873,2.0,460
460,167,8,1298759550.40835,2.0,461
461,178,162,1298778315.23466,2.0,462
462,162,178,1298778361.05062,2.0,463
463,130,150,1298795455.87274,2.0,464
464,150,130,1298795468.73169,0.0,465
465,179,145,1298843671.57232,0.0,466
466,145,179,1298843683.57829,0.0,467
467,2,76,1298844200.38302,0.0,468
468,180,76,1298844210.44139,2.0,469
469,76,180,1298844224.27972,2.0,470
470,63,76,1298844292.26319,1.0,471
471,76,63,1298844298.06062,2.0,472
472,174,144,1298874597.88921,2.0,473
473,174,150,1298874793.4339,2.0,474
474,150,174,1298874964.12214,0.0,475
475,144,174,1298875015.9994,0.0,476
476,181,167,1298878912.59071,2.0,477
477,167,181,1298878996.51595,2.0,478
478,42,175,1298880775.10185,0.0,479
479,82,150,1298898116.56088,2.0,480
480,144,145,1298926935.42354,0.0,481
481,145,144,1298927097.42467,0.0,482
482,149,61,1298928760.87298,2.0,483
483,61,149,1298928785.24844,0.0,484
484,157,3,1298929715.26896,2.0,485
485,3,157,1298929724.58619,0.0,486
486,20,2,1298950354.24875,0.0,487
487,182,133,1299031253.02273,2.0,488
488,133,182,1299031290.36311,0.0,489
489,182,136,1299032633.45305,2.0,490
490,136,182,1299032672.09509,0.0,491
491,160,133,1299034389.95688,2.0,492
492,133,160,1299034411.42346,0.0,493
493,144,136,1299038270.00007,0.0,494
494,136,144,1299038484.57114,0.0,495
495,183,149,1299041120.30215,2.0,496
496,149,183,1299041133.74616,2.0,497
497,182,145,1299041571.84638,2.0,498
498,145,182,1299041643.76656,0.0,499
499,184,182,1299043467.00321,2.0,500
500,182,184,1299043551.71672,2.0,501
501,184,144,1299044294.86964,2.0,502
502,144,184,1299044403.24181,0.0,503
503,65,143,1299085320.83416,0.0,504
504,143,65,1299085332.11705,2.0,505
505,8,185,1299087811.16481,0.0,506
506,185,8,1299088214.0403,2.0,507
507,8,81,1299088418.20491,0.0,508
508,79,8,1299093649.42249,0.0,509
509,8,79,1299093674.94716,0.0,510
510,180,148,1299101381.01691,2.0,511
511,148,180,1299103258.85242,2.0,512
512,186,8,1299151907.92823,2.0,513
513,8,186,1299152111.95803,0.0,514
514,46,177,1299178292.56269,0.0,515
515,187,184,1299204600.79527,2.0,516
516,184,187,1299204728.25571,2.0,517
517,188,136,1299204954.18879,2.0,518
518,136,188,1299205271.37817,0.0,519
519,8,34,1299206112.20518,0.0,520
520,34,8,1299206119.67434,0.0,521
521,145,79,1299275608.11165,0.0,522
522,189,8,1299283600.03025,2.0,523
523,8,189,1299283609.0378,0.0,524
524,190,105,1299289949.53986,2.0,525
525,105,190,1299290475.70162,2.0,526
526,191,105,1299304119.32378,2.0,527
527,105,191,1299304159.52682,2.0,528
528,111,105,1299436669.14931,2.0,529
529,192,105,1299438045.59458,2.0,530
530,105,192,1299438055.41055,2.0,531
531,114,105,1299446922.31054,0.0,532
532,105,114,1299446966.29133,2.0,533
533,174,7,1299447999.63164,2.0,534
534,8,111,1299490927.29325,0.0,535
535,172,105,1299521852.61123,2.0,536
536,105,172,1299526904.15252,2.0,537
537,193,144,1299530754.61514,2.0,538
538,144,193,1299530789.68515,0.0,539
539,160,61,1299531271.8705,2.0,540
540,61,160,1299531324.89171,0.0,541
541,2,3,1299556897.11787,0.0,542
542,26,58,1299557057.61949,0.0,543
543,179,61,1299612557.68516,0.0,544
544,36,8,1299679074.43262,0.0,545
545,194,61,1299680713.48263,2.0,546
546,61,194,1299690391.59665,0.0,547
547,195,61,1299695064.64841,2.0,548
548,179,195,1299695092.12404,0.0,549
549,61,195,1299695193.58884,0.0,550
550,195,179,1299696030.98944,2.0,551
551,196,8,1299732938.35009,2.0,552
552,8,196,1299732959.82189,0.0,553
553,61,30,1299735274.57295,0.0,554
554,197,63,1299758045.42469,2.0,555
555,63,197,1299758069.10407,1.0,556
556,30,61,1299767299.46624,2.0,557
557,192,61,1299770716.79434,2.0,558
558,157,8,1299912911.49571,2.0,559
559,8,157,1299912916.6564,0.0,560
560,199,61,1299950085.78986,0.0,561
561,200,61,1299985463.22153,2.0,562
562,61,200,1299985655.09101,0.0,563
563,201,8,1300015561.6701,2.0,564
564,8,201,1300015951.74518,0.0,565
565,199,133,1300042936.98914,0.0,566
566,133,199,1300043117.64593,0.0,567
567,8,36,1300184211.54803,0.0,568
568,202,195,1300209236.17869,2.0,569
569,195,202,1300211126.02863,2.0,570
570,203,101,1300226423.7699,0.0,571
571,101,203,1300226820.80052,2.0,572
572,204,143,1300231849.32684,2.0,573
573,143,204,1300232683.219,2.0,574
574,205,8,1300232688.61261,1.0,575
575,61,143,1300233490.26657,0.0,576
576,111,8,1300240396.64097,2.0,577
577,206,61,1300244368.07308,2.0,578
578,202,207,1300261803.24489,2.0,579
579,207,202,1300262138.70326,2.0,580
580,8,208,1300292102.85217,0.0,581
581,63,201,1300330194.91876,1.0,582
582,76,61,1300332304.32471,2.0,583
583,61,76,1300332465.49224,0.0,584
584,8,76,1300333012.95413,0.0,585
585,210,61,1300402382.46128,2.0,586
586,211,8,1300411884.69399,2.0,587
587,8,211,1300414645.92746,0.0,588
588,144,143,1300459755.42946,0.0,589
589,143,144,1300459768.82549,2.0,590
590,143,61,1300473495.35943,2.0,591
591,207,8,1300568050.6267,2.0,592
592,210,150,1300652885.59238,2.0,593
593,8,121,1300708855.39164,0.0,594
594,208,8,1300720137.00426,2.0,595
595,97,8,1300745124.00214,2.0,596
596,180,105,1300756036.36913,2.0,597
597,180,201,1300756138.39013,2.0,598
598,180,150,1300756261.61723,2.0,599
599,8,97,1300789107.18729,0.0,600
600,61,57,1300815962.85964,0.0,601
601,212,203,1300839352.59369,2.0,602
602,14,201,1300839891.18732,0.0,603
603,201,14,1300839913.56754,2.0,604
604,203,212,1300844813.10287,0.0,605
605,150,105,1300847913.88432,0.0,606
606,105,150,1300848458.62375,2.0,607
607,61,105,1300857385.78325,0.0,608
608,63,150,1300864405.05485,1.0,609
609,212,168,1300869245.91488,2.0,610
610,8,207,1300922187.70427,0.0,611
611,213,203,1300928213.78487,2.0,612
612,203,213,1300928240.52163,0.0,613
613,210,213,1300931572.43768,2.0,614
614,213,61,1300933559.35294,2.0,615
615,61,213,1300933628.40347,0.0,616
616,135,102,1300933841.61542,0.0,617
617,214,61,1300933940.81493,2.0,618
618,61,214,1300934003.34278,0.0,619
619,102,135,1300934772.96625,2.0,620
620,8,213,1300936616.54053,0.0,621
621,133,213,1300936648.23633,0.0,622
622,30,213,1300937004.55166,2.0,623
623,154,144,1300997414.74007,2.0,624
624,144,154,1300998238.60245,0.0,625
625,111,36,1301003730.28041,2.0,626
626,215,136,1301005357.37453,2.0,627
627,216,144,1301019703.69875,0.0,628
628,144,216,1301019908.37738,0.0,629
629,213,30,1301020983.01394,2.0,630
630,213,8,1301023265.29454,2.0,631
631,153,136,1301029977.05713,2.0,632
632,180,8,1301032557.19767,2.0,633
633,150,40,1301053223.02334,0.0,634
634,40,150,1301053275.06746,0.0,635
635,217,215,1301084932.76856,2.0,636
636,215,217,1301086321.13469,2.0,637
637,113,175,1301089005.69938,2.0,638
638,203,154,1301105775.10627,0.0,639
639,121,30,1301142985.03367,0.0,640
640,218,61,1301148833.16292,2.0,641
641,219,61,1301149633.64025,2.0,642
642,61,219,1301149695.18141,0.0,643
643,213,210,1301167471.06378,2.0,644
644,61,218,1301168075.27677,0.0,645
645,4,218,1301168216.3998,0.0,646
646,180,136,1301193533.06173,2.0,647
647,220,177,1301235483.09664,2.0,648
648,177,220,1301235508.69089,2.0,649
649,111,220,1301235545.31582,2.0,650
650,221,177,1301245064.58624,2.0,651
651,224,2,1301329948.91762,0.0,652
652,2,61,1301333077.92972,0.0,653
653,8,61,1301333083.16938,0.0,654
654,3,40,1301333302.87472,0.0,655
655,177,203,1301339345.99901,2.0,656
656,203,177,1301339497.00076,0.0,657
657,225,61,1301341025.09,2.0,658
658,226,2,1301354601.2876,2.0,659
659,2,226,1301354685.48414,0.0,660
660,210,226,1301354726.36129,2.0,661
661,2,30,1301365737.22085,0.0,662
662,220,30,1301365871.60088,2.0,663
663,30,220,1301366024.41918,2.0,664
664,133,2,1301366233.10452,0.0,665
665,228,2,1301369843.28328,2.0,666
666,2,228,1301369929.12868,0.0,667
667,229,61,1301439895.52296,2.0,668
668,46,226,1301447178.01603,0.0,669
669,215,61,1301453104.26438,2.0,670
670,186,200,1301513674.37768,2.0,671
671,200,186,1301514094.92735,2.0,672
672,231,61,1301521482.93868,2.0,673
673,232,61,1301522462.81942,2.0,674
674,61,232,1301523090.45585,0.0,675
675,233,8,1301569599.51207,2.0,676
676,105,2,1301600149.38126,2.0,677
677,2,105,1301600346.82901,0.0,678
678,2,34,1301607874.4924,0.0,679
679,150,63,1301613622.54372,0.0,680
680,172,30,1301617653.67475,2.0,681
681,234,207,1301618418.8494,2.0,682
682,207,234,1301618444.55443,2.0,683
683,8,233,1301630013.46087,0.0,684
684,209,61,1301683978.58539,2.0,685
685,61,209,1301684509.79047,0.0,686
686,235,207,1301694942.53723,2.0,687
687,207,235,1301695371.53818,2.0,688
688,8,236,1301744132.96548,0.0,689
689,8,223,1301774795.68179,0.0,690
690,203,105,1301785228.57015,0.0,691
691,105,203,1301785244.12798,2.0,692
692,237,203,1301820795.67287,2.0,693
693,203,237,1301821269.51203,0.0,694
694,238,203,1301827089.371,2.0,695
695,203,238,1301827807.72056,0.0,696
696,239,150,1301863197.31473,2.0,697
697,150,239,1301863380.16357,0.0,698
698,240,40,1301866633.93795,2.0,699
